state,district,dem_margin,incumbent_party
AK,AL,-13.14,R
AL,01,-55.32,R
AL,02,8.23,D
AL,03,-46.69,R
AL,04,-66.43,R
AL,05,-29.11,R
AL,06,-38.55,R
AL,07,23.36,D
AR,01,-45.29,R
AR,02,-15.53,R
AR,03,-24.89,R
AR,04,-39.91,R
AZ,01,-3.11,R
AZ,02,-14.97,R
AZ,03,39.75,D
AZ,04,6.67,D
AZ,05,-19.98,R
AZ,06,-0.75,R
AZ,07,22.13,D
AZ,08,-16.33,R
AZ,09,-31.08,R
CA,01,-24.95,R
CA,02,45.16,D
CA,03,-3.82,R
CA,04,31.22,D
CA,05,-17.71,R
CA,06,13.87,D
CA,07,29.75,D
CA,08,43.58,D
CA,09,-1.78,D
CA,10,33.78,D
CA,11,67.72,D
CA,12,73.9,D
CA,13,-5.43,D
CA,14,35.43,D
CA,15,47.89,D
CA,16,48.52,D
CA,17,37.9,D
CA,18,29.5,D
CA,19,34.39,D
CA,20,-30.33,R
CA,21,3.79,D
CA,22,-5.83,R
CA,23,-16.86,R
CA,24,25.04,D
CA,25,2.47,D
CA,26,13.16,D
CA,27,3.89,D
CA,28,26.94,D
CA,29,34.8,D
CA,30,41.06,D
CA,31,16.9,D
CA,32,31.35,D
CA,33,8.73,D
CA,34,50.64,D
CA,35,10.27,D
CA,36,39.11,D
CA,37,60.39,D
CA,38,16.08,D
CA,39,9.69,D
CA,40,-2.32,R
CA,41,-5.93,R
CA,42,32.43,D
CA,43,48.96,D
CA,44,33.82,D
CA,45,1.54,D
CA,46,17.73,D
CA,47,4.17,D
CA,48,-15.31,R
CA,49,7.76,D
CA,50,29.56,D
CA,51,23.5,D
CA,52,21.19,D
CO,01,56.07,D
CO,02,39.78,D
CO,03,-9.73,R
CO,04,-18.25,R
CO,05,-9.08,R
CO,06,19.78,D
CO,07,14.98,D
CO,08,-1.83,R
CT,01,22.88,D
CT,02,7.73,D
CT,03,14.06,D
CT,04,23.36,D
CT,05,5.59,D
DE,AL,14.74,D
FL,01,-37.2,R
FL,02,-18.0,R
FL,03,-21.12,R
FL,04,-11.84,R
FL,05,-21.43,R
FL,06,-30.09,R
FL,07,-12.48,R
FL,08,-22.34,R
FL,09,3.51,D
FL,10,22.71,D
FL,11,-16.26,R
FL,12,-34.58,R
FL,13,-11.86,R
FL,14,7.67,D
FL,15,-11.19,R
FL,16,-15.47,R
FL,17,-23.95,R
FL,18,-29.4,R
FL,19,-29.17,R
FL,20,39.61,D
FL,21,-16.56,R
FL,22,5.57,D
FL,23,1.91,D
FL,24,30.05,D
FL,25,5.33,D
FL,26,-34.97,R
FL,27,-14.66,R
FL,28,-25.4,R
GA,01,-15.81,R
GA,02,7.62,D
GA,03,-29.7,R
GA,04,52.47,D
GA,05,71.59,D
GA,06,49.94,D
GA,07,-22.06,R
GA,08,-30.59,R
GA,09,-34.08,R
GA,10,-20.78,R
GA,11,-23.34,R
GA,12,-14.16,R
GA,13,42.33,D
GA,14,-36.78,R
HI,01,24.73,D
HI,02,21.59,D
IA,01,-8.47,R
IA,02,-9.99,R
IA,03,-4.41,R
IA,04,-31.48,R
ID,01,-45.07,R
ID,02,-26.73,R
IL,01,32.05,D
IL,02,33.12,D
IL,03,31.39,D
IL,04,28.33,D
IL,05,37.12,D
IL,06,5.49,D
IL,07,65.39,D
IL,08,6.91,D
IL,09,36.57,D
IL,10,22.05,D
IL,11,11.43,D
IL,12,-43.42,R
IL,13,10.47,D
IL,14,5.19,D
IL,15,-39.75,R
IL,16,-22.68,R
IL,17,4.74,D
IN,01,0.4,D
IN,02,-26.5,R
IN,03,-31.19,R
IN,04,-29.34,R
IN,05,-16.81,R
IN,06,-32.52,R
IN,07,41.46,D
IN,08,-35.88,R
IN,09,-29.88,R
KS,01,-31.27,R
KS,02,-19.67,R
KS,03,4.1,D
KS,04,-23.29,R
KY,01,-47.3,R
KY,02,-41.33,R
KY,03,18.94,D
KY,04,-35.56,R
KY,05,-63.88,R
KY,06,-15.03,R
LA,01,-37.92,R
LA,02,31.38,D
LA,03,-44.78,R
LA,04,-52.14,R
LA,05,-36.27,R
LA,06,14.98,D
MA,01,13.62,D
MA,02,23.68,D
MA,03,18.98,D
MA,04,19.72,D
MA,05,45.17,D
MA,06,20.68,D
MA,07,63.1,D
MA,08,26.42,D
MA,09,10.76,D
MD,01,-16.91,R
MD,02,18.46,D
MD,03,23.76,D
MD,04,73.62,D
MD,05,33.29,D
MD,06,5.77,D
MD,07,58.94,D
MD,08,56.45,D
ME,01,21.61,D
ME,02,-9.05,D
MI,01,-21.21,R
MI,02,-30.09,R
MI,03,7.84,D
MI,04,-5.54,R
MI,05,-27.02,R
MI,06,23.31,D
MI,07,-1.28,R
MI,08,-1.98,D
MI,09,-32.33,R
MI,10,-6.55,R
MI,11,16.08,D
MI,12,37.96,D
MI,13,41.06,D
MN,01,-12.0,R
MN,02,5.83,D
MN,03,21.26,D
MN,04,35.67,D
MN,05,61.87,D
MN,06,-19.67,R
MN,07,-36.48,R
MN,08,-14.29,R
MO,01,57.19,D
MO,02,-7.9,R
MO,03,-26.72,R
MO,04,-42.28,R
MO,05,23.12,D
MO,06,-38.85,R
MO,07,-42.62,R
MO,08,-54.08,R
MS,01,-37.03,R
MS,02,20.36,D
MS,03,-29.18,R
MS,04,-42.53,R
MT,01,-11.55,R
MT,02,-29.54,R
NC,01,-3.1,D
NC,02,33.85,D
NC,03,-21.86,R
NC,04,45.3,D
NC,05,-17.78,R
NC,06,-17.16,R
NC,07,-13.82,R
NC,08,-19.38,R
NC,09,-15.84,R
NC,10,-17.73,R
NC,11,-9.5,R
NC,12,46.2,D
NC,13,-16.47,R
NC,14,-15.08,R
ND,AL,-36.76,R
NE,01,-13.04,R
NE,02,4.62,R
NE,03,-53.8,R
NH,01,2.01,D
NH,02,3.59,D
NJ,01,18.73,D
NJ,02,-12.55,R
NJ,03,8.36,D
NJ,04,-30.12,R
NJ,05,1.51,D
NJ,06,6.42,D
NJ,07,-1.17,R
NJ,08,24.19,D
NJ,09,-1.14,D
NJ,10,50.77,D
NJ,11,8.71,D
NJ,12,23.87,D
NM,01,12.66,D
NM,02,-1.81,D
NM,03,5.2,D
NV,01,2.26,D
NV,02,-13.94,R
NV,03,-0.74,D
NV,04,2.32,D
NY,01,-10.04,R
NY,02,-13.93,R
NY,03,-4.28,D
NY,04,1.28,D
NY,05,42.16,D
NY,06,6.41,D
NY,07,45.89,D
NY,08,43.98,D
NY,09,40.61,D
NY,10,60.44,D
NY,11,-24.37,R
NY,12,63.6,D
NY,13,59.28,D
NY,14,31.75,D
NY,15,48.26,D
NY,16,33.11,D
NY,17,0.56,R
NY,18,3.33,D
NY,19,1.78,D
NY,20,14.15,D
NY,21,-20.65,R
NY,22,7.65,D
NY,23,-21.01,R
NY,24,-23.09,R
NY,25,18.44,D
NY,26,19.27,D
OH,01,6.34,D
OH,02,-47.58,R
OH,03,40.24,D
OH,04,-36.76,R
OH,05,-29.26,R
OH,06,-33.66,R
OH,07,-10.64,R
OH,08,-23.69,R
OH,09,-6.71,D
OH,10,-5.74,R
OH,11,55.07,D
OH,12,-32.73,R
OH,13,0.05,D
OH,14,-17.94,R
OH,15,-9.19,R
OK,01,-21.53,R
OK,02,-55.62,R
OK,03,-45.54,R
OK,04,-33.24,R
OK,05,-17.72,R
OR,01,37.79,D
OR,02,-27.14,R
OR,03,45.98,D
OR,04,12.06,D
OR,05,8.54,D
OR,06,11.38,D
PA,01,0.32,R
PA,02,35.74,D
PA,03,77.32,D
PA,04,15.8,D
PA,05,28.63,D
PA,06,11.41,D
PA,07,-3.2,R
PA,08,-8.5,R
PA,09,-37.94,R
PA,10,-5.23,R
PA,11,-21.36,R
PA,12,19.19,D
PA,13,-45.54,R
PA,14,-33.36,R
PA,15,-37.96,R
PA,16,-22.77,R
PA,17,5.5,D
RI,01,22.16,D
RI,02,6.79,D
SC,01,-13.01,R
SC,02,-13.91,R
SC,03,-43.06,R
SC,04,-23.58,R
SC,05,-22.77,R
SC,06,22.68,D
SC,07,-26.34,R
SD,AL,-29.19,R
TN,01,-57.84,R
TN,02,-33.86,R
TN,03,-35.88,R
TN,04,-43.58,R
TN,05,-17.77,R
TN,06,-35.21,R
TN,07,-22.29,R
TN,08,-41.13,R
TN,09,43.4,D
TX,01,-51.28,R
TX,02,-23.78,R
TX,03,-20.07,R
TX,04,-32.59,R
TX,05,-27.08,R
TX,06,-28.54,R
TX,07,20.77,D
TX,08,-33.88,R
TX,09,44.11,D
TX,10,-24.83,R
TX,11,-45.46,R
TX,12,-22.6,R
TX,13,-47.79,R
TX,14,-34.05,R
TX,15,-17.85,R
TX,16,16.01,D
TX,17,-29.24,R
TX,18,39.81,D
TX,19,-51.69,R
TX,20,21.27,D
TX,21,-23.64,R
TX,22,-19.54,R
TX,23,-15.53,R
TX,24,-15.53,R
TX,25,-36.34,R
TX,26,-23.44,R
TX,27,-29.67,R
TX,28,-7.29,D
TX,29,20.4,D
TX,30,46.97,D
TX,31,-23.27,R
TX,32,23.75,D
TX,33,33.77,D
TX,34,-4.43,D
TX,35,33.64,D
TX,36,-36.78,R
TX,37,49.34,D
TX,38,-20.7,R
UT,01,-20.04,R
UT,02,-20.32,R
UT,03,-19.31,R
UT,04,-26.68,R
VA,01,-4.94,R
VA,02,-0.25,R
VA,03,34.67,D
VA,04,32.7,D
VA,05,-12.28,R
VA,06,-23.88,R
VA,07,2.86,D
VA,08,49.75,D
VA,09,-44.06,R
VA,10,8.36,D
VA,11,34.29,D
VT,AL,31.77,D
WA,01,28.69,D
WA,02,23.67,D
WA,03,-3.3,D
WA,04,-20.67,R
WA,05,-10.79,R
WA,06,19.27,D
WA,07,74.99,D
WA,08,5.78,D
WA,09,41.21,D
WA,10,18.0,D
WI,01,-4.51,R
WI,02,40.15,D
WI,03,-7.4,R
WI,04,51.55,D
WI,05,-22.15,R
WI,06,-16.48,R
WI,07,-22.5,R
WI,08,-16.26,R
WV,01,-44.36,R
WV,02,-39.6,R
WY,AL,-46.22,R
