state,district,pres2024_margin,house2024_margin,incumbent_party
AK,AL,-13.14,,R
AL,1,-55.32,-56.95,R
AL,2,8.23,9.2,D
AL,3,-46.69,,R
AL,4,-66.43,,R
AL,5,-29.11,,R
AL,6,-38.55,-40.79,R
AL,7,23.36,27.44,D
AR,1,-45.29,-50.46,R
AR,2,-15.53,-17.87,R
AR,3,-24.89,-33.52,R
AR,4,-39.91,-45.82,R
AZ,1,-3.11,-3.81,R
AZ,2,-14.97,-8.97,R
AZ,3,39.75,45.49,D
AZ,4,6.67,7.42,D
AZ,5,-19.98,-20.78,R
AZ,6,-0.75,-2.57,R
AZ,7,22.13,26.9,D
AZ,8,-16.33,-13.0,R
AZ,9,-31.08,-30.6,R
CA,1,-24.95,-30.69,R
CA,10,33.78,32.95,D
CA,11,67.72,62.07,D
CA,12,73.9,,D
CA,13,-5.43,0.09,D
CA,14,35.43,35.51,D
CA,15,47.89,46.19,D
CA,16,48.52,,D
CA,17,37.9,35.33,D
CA,18,29.5,29.25,D
CA,19,34.39,38.59,D
CA,2,45.16,43.77,D
CA,20,-30.33,,R
CA,21,3.79,5.15,D
CA,22,-5.83,-6.84,R
CA,23,-16.86,-20.28,R
CA,24,25.04,25.39,D
CA,25,2.47,12.51,D
CA,26,13.16,12.11,D
CA,27,3.89,2.66,D
CA,28,26.94,29.86,D
CA,29,34.8,39.55,D
CA,3,-3.82,-10.93,R
CA,30,41.06,36.75,D
CA,31,16.9,19.46,D
CA,32,31.35,32.4,D
CA,33,8.73,17.63,D
CA,34,50.64,,D
CA,35,10.27,16.81,D
CA,36,39.11,37.44,D
CA,37,60.39,,D
CA,38,16.08,19.68,D
CA,39,9.69,13.38,D
CA,4,31.22,32.91,D
CA,40,-2.32,-10.52,R
CA,41,-5.93,-3.38,R
CA,42,32.43,36.28,D
CA,43,48.96,50.15,D
CA,44,33.82,42.75,D
CA,45,1.54,0.21,D
CA,46,17.73,26.85,D
CA,47,4.17,2.88,D
CA,48,-15.31,-18.59,R
CA,49,7.76,4.35,D
CA,5,-17.71,-23.53,R
CA,50,29.56,28.55,D
CA,51,23.5,21.39,D
CA,52,21.19,32.62,D
CA,6,13.87,15.24,D
CA,7,29.75,33.5,D
CA,8,43.58,47.94,D
CA,9,-1.78,3.58,D
CO,1,56.07,56.02,D
CO,2,39.78,40.52,D
CO,3,-9.73,-5.16,R
CO,4,-18.25,-12.13,R
CO,5,-9.08,-14.44,R
CO,6,19.78,21.06,D
CO,7,14.98,14.7,D
CO,8,-1.83,-0.76,R
CT,1,22.88,26.44,D
CT,2,7.73,16.03,D
CT,3,14.06,19.64,D
CT,4,23.36,24.1,D
CT,5,5.59,4.28,D
DE,AL,14.74,,D
FL,1,-37.2,-32.07,R
FL,10,22.71,24.75,D
FL,11,-16.26,-20.75,R
FL,12,-34.58,-42.08,R
FL,13,-11.86,-9.65,R
FL,14,7.67,15.59,D
FL,15,-11.19,-12.36,R
FL,16,-15.47,-18.96,R
FL,17,-23.95,-27.81,R
FL,18,-29.4,-30.61,R
FL,19,-29.17,-32.63,R
FL,2,-18.0,-23.28,R
FL,20,39.61,,D
FL,21,-16.56,-23.65,R
FL,22,5.57,9.91,D
FL,23,1.91,4.89,D
FL,24,30.05,36.48,D
FL,25,5.33,8.96,D
FL,26,-34.97,-41.83,R
FL,27,-14.66,-20.75,R
FL,28,-25.4,-29.13,R
FL,3,-21.12,-23.22,R
FL,4,-11.84,-14.54,R
FL,5,-21.43,-26.15,R
FL,6,-30.09,-33.07,R
FL,7,-12.48,-13.05,R
FL,8,-22.34,-24.48,R
FL,9,3.51,12.85,D
GA,1,-15.81,-23.97,R
GA,10,-20.78,-26.1,R
GA,11,-23.34,-34.62,R
GA,12,-14.16,-20.64,R
GA,13,42.33,43.67,D
GA,14,-36.78,-28.74,R
GA,2,7.62,12.66,D
GA,3,-29.7,-32.61,R
GA,4,52.47,51.17,D
GA,5,71.59,71.36,D
GA,6,49.94,49.37,D
GA,7,-22.06,-29.7,R
GA,8,-30.59,-37.83,R
GA,9,-34.08,-38.01,R
HI,1,24.73,43.68,D
HI,2,21.59,37.56,D
IA,1,-8.47,-0.19,R
IA,2,-9.99,-15.78,R
IA,3,-4.41,-3.83,R
IA,4,-31.48,-34.44,R
ID,1,-45.07,-47.23,R
ID,2,-26.73,-32.92,R
IL,1,32.05,31.7,D
IL,10,22.05,19.96,D
IL,11,11.43,11.18,D
IL,12,-43.42,-48.39,R
IL,13,10.47,16.23,D
IL,14,5.19,10.21,D
IL,15,-39.75,,R
IL,16,-22.68,,R
IL,17,4.74,8.85,D
IL,2,33.12,35.12,D
IL,3,31.39,34.58,D
IL,4,28.33,42.43,D
IL,5,37.12,37.94,D
IL,6,5.49,8.42,D
IL,7,65.39,66.59,D
IL,8,6.91,14.11,D
IL,9,36.57,36.78,D
IN,1,0.4,8.63,D
IN,2,-26.5,-28.9,R
IN,3,-31.19,-34.87,R
IN,4,-29.34,-35.4,R
IN,5,-16.81,-19.64,R
IN,6,-32.52,-33.7,R
IN,7,41.46,40.48,D
IN,8,-35.88,-39.53,R
IN,9,-29.88,-32.56,R
KS,1,-31.27,-38.27,R
KS,2,-19.67,-19.81,R
KS,3,4.1,11.21,D
KS,4,-23.29,-30.1,R
KY,1,-47.3,-49.43,R
KY,2,-41.33,-46.2,R
KY,3,18.94,23.91,D
KY,4,-35.56,,R
KY,5,-63.88,,R
KY,6,-15.03,-26.07,R
LA,1,-37.92,-47.09,R
LA,2,31.38,63.09,D
LA,3,-44.78,-58.17,R
LA,4,-52.14,,R
LA,5,-36.27,-41.57,R
LA,6,14.98,14.72,D
MA,1,13.62,,D
MA,2,23.68,,D
MA,3,18.98,,D
MA,4,19.72,,D
MA,5,45.17,,D
MA,6,20.68,,D
MA,7,63.1,,D
MA,8,26.42,41.16,D
MA,9,10.76,13.04,D
MD,1,-16.91,-22.77,R
MD,2,18.46,19.08,D
MD,3,23.76,22.04,D
MD,4,73.62,77.45,D
MD,5,33.29,35.83,D
MD,6,5.77,6.34,D
MD,7,58.94,64.76,D
MD,8,56.45,57.93,D
ME,1,21.61,23.46,D
ME,2,-9.05,0.49,D
MI,1,-21.21,-21.88,R
MI,10,-6.55,-6.38,R
MI,11,16.08,19.02,D
MI,12,37.96,46.51,D
MI,13,41.06,47.34,D
MI,2,-30.09,-34.54,R
MI,3,7.84,10.15,D
MI,4,-5.54,-11.89,R
MI,5,-27.02,-33.44,R
MI,6,23.31,27.85,D
MI,7,-1.28,-3.84,R
MI,8,-1.98,6.93,D
MI,9,-32.33,-38.7,R
MN,1,-12.0,-17.11,R
MN,2,5.83,13.78,D
MN,3,21.26,16.99,D
MN,4,35.67,34.73,D
MN,5,61.87,50.35,D
MN,6,-19.67,-25.07,R
MN,7,-36.48,-41.05,R
MN,8,-14.29,-16.09,R
MO,1,57.19,61.04,D
MO,2,-7.9,-12.37,R
MO,3,-26.72,-26.93,R
MO,4,-42.28,-45.82,R
MO,5,23.12,24.6,D
MO,6,-38.85,-44.84,R
MO,7,-42.62,-46.29,R
MO,8,-54.08,-55.49,R
MS,1,-37.03,-39.62,R
MS,2,20.36,24.03,D
MS,3,-29.18,,R
MS,4,-42.53,-47.9,R
MT,1,-11.55,-7.92,R
MT,2,-29.54,-31.98,R
NC,1,-3.1,1.72,D
NC,10,-17.73,-20.15,R
NC,11,-9.5,-13.54,R
NC,12,46.2,48.04,D
NC,13,-16.47,-17.29,R
NC,14,-15.08,-16.13,R
NC,2,33.85,35.41,D
NC,3,-21.86,,R
NC,4,45.3,46.65,D
NC,5,-17.78,-18.95,R
NC,6,-17.16,,R
NC,7,-13.82,-17.19,R
NC,8,-19.38,-19.22,R
NC,9,-15.84,-19.72,R
ND,AL,-36.76,,R
NE,1,-13.04,-20.21,R
NE,2,4.62,-1.85,R
NE,3,-53.8,-60.84,R
NH,1,2.01,8.07,D
NH,2,3.59,5.97,D
NJ,1,18.73,18.24,D
NJ,10,50.77,53.98,D
NJ,11,8.71,14.99,D
NJ,12,23.87,25.36,D
NJ,2,-12.55,-17.02,R
NJ,3,8.36,8.77,D
NJ,4,-30.12,-36.07,R
NJ,5,1.51,11.53,D
NJ,6,6.42,16.31,D
NJ,7,-1.17,-5.51,R
NJ,8,24.19,26.16,D
NJ,9,-1.14,5.06,D
NM,1,12.66,12.74,D
NM,2,-1.81,4.16,D
NM,3,5.2,12.57,D
NV,1,2.26,7.78,D
NV,2,-13.94,,R
NV,3,-0.74,2.74,D
NV,4,2.32,8.32,D
NY,1,-10.04,-5.01,R
NY,10,60.44,69.19,D
NY,11,-24.37,-24.13,R
NY,12,63.6,58.84,D
NY,13,59.28,70.01,D
NY,14,31.75,37.26,D
NY,15,48.26,60.1,D
NY,16,33.11,43.17,D
NY,17,0.56,-1.98,R
NY,18,3.33,15.54,D
NY,19,1.78,1.81,D
NY,2,-13.93,-16.25,R
NY,20,14.15,24.35,D
NY,21,-20.65,-23.42,R
NY,22,7.65,11.33,D
NY,23,-21.01,-24.99,R
NY,24,-23.09,-25.35,R
NY,25,18.44,17.36,D
NY,26,19.27,33.47,D
NY,3,-4.28,7.01,D
NY,4,1.28,5.81,D
NY,5,42.16,49.64,D
NY,6,6.41,26.63,D
NY,7,45.89,35.69,D
NY,8,43.98,55.3,D
NY,9,40.61,54.19,D
OH,1,6.34,9.17,D
OH,10,-5.74,-19.01,R
OH,11,55.07,59.91,D
OH,12,-32.73,-37.01,R
OH,13,0.05,2.21,D
OH,14,-17.94,-26.83,R
OH,15,-9.19,-12.92,R
OH,2,-47.58,-47.12,R
OH,3,40.24,41.48,D
OH,4,-36.76,-36.92,R
OH,5,-29.26,-35.02,R
OH,6,-33.66,-33.48,R
OH,7,-10.64,-17.15,R
OH,8,-23.69,-25.62,R
OH,9,-6.71,0.66,D
OK,1,-21.53,-27.27,R
OK,2,-55.62,-55.15,R
OK,3,-45.54,,R
OK,4,-33.24,-39.54,R
OK,5,-17.72,-21.39,R
OR,1,37.79,41.9,D
OR,2,-27.14,-32.14,R
OR,3,45.98,45.72,D
OR,4,12.06,8.12,D
OR,5,8.54,2.94,D
OR,6,11.38,6.86,D
PA,1,0.32,-12.81,R
PA,10,-5.23,-1.26,R
PA,11,-21.36,-25.79,R
PA,12,19.19,12.82,D
PA,13,-45.54,-48.4,R
PA,14,-33.36,-33.15,R
PA,15,-37.96,-42.93,R
PA,16,-22.77,-27.31,R
PA,17,5.5,7.75,D
PA,2,35.74,42.92,D
PA,3,77.32,,D
PA,4,15.8,18.13,D
PA,5,28.63,30.58,D
PA,6,11.41,12.4,D
PA,7,-3.2,-1.01,R
PA,8,-8.5,-1.62,R
PA,9,-37.94,-41.02,R
RI,1,22.16,32.66,D
RI,2,6.79,16.76,D
SC,1,-13.01,-16.64,R
SC,2,-13.91,-19.33,R
SC,3,-43.06,-47.81,R
SC,4,-23.58,-23.2,R
SC,5,-22.77,-27.22,R
SC,6,22.68,23.67,D
SC,7,-26.34,-29.96,R
SD,AL,-29.19,,R
TN,1,-57.84,-60.22,R
TN,2,-33.86,-38.52,R
TN,3,-35.88,-39.39,R
TN,4,-43.58,-44.66,R
TN,5,-17.77,-18.04,R
TN,6,-35.21,-36.0,R
TN,7,-22.29,-21.99,R
TN,8,-41.13,-47.74,R
TN,9,43.4,47.07,D
TX,1,-51.28,,R
TX,10,-24.83,-30.32,R
TX,11,-45.46,,R
TX,12,-22.6,-26.91,R
TX,13,-47.79,,R
TX,14,-34.05,-37.38,R
TX,15,-17.85,-14.23,R
TX,16,16.01,19.08,D
TX,17,-29.24,-32.7,R
TX,18,39.81,38.89,D
TX,19,-51.69,,R
TX,2,-23.78,-31.32,R
TX,20,21.27,,D
TX,21,-23.64,-26.34,R
TX,22,-19.54,-24.25,R
TX,23,-15.53,-24.59,R
TX,24,-15.53,-20.6,R
TX,25,-36.34,,R
TX,26,-23.44,-27.01,R
TX,27,-29.67,-32.09,R
TX,28,-7.29,5.63,D
TX,29,20.4,30.58,D
TX,3,-20.07,-24.91,R
TX,30,46.97,,D
TX,31,-23.27,-28.86,R
TX,32,23.75,24.11,D
TX,33,33.77,37.57,D
TX,34,-4.43,2.58,D
TX,35,33.64,34.73,D
TX,36,-36.78,-38.72,R
TX,37,49.34,51.78,D
TX,38,-20.7,-25.5,R
TX,4,-32.59,-36.77,R
TX,5,-27.08,-28.17,R
TX,6,-28.54,-31.35,R
TX,7,20.77,22.57,D
TX,8,-33.88,-36.43,R
TX,9,44.11,,D
UT,1,-20.04,-32.63,R
UT,2,-20.32,-25.78,R
UT,3,-19.31,-32.77,R
UT,4,-26.68,-35.48,R
VA,1,-4.94,-12.8,R
VA,10,8.36,4.57,D
VA,11,34.29,33.97,D
VA,2,-0.25,-3.94,R
VA,3,34.67,40.2,D
VA,4,32.7,34.98,D
VA,5,-12.28,-15.06,R
VA,6,-23.88,-29.23,R
VA,7,2.86,2.65,D
VA,8,49.75,48.72,D
VA,9,-44.06,-45.24,R
VT,AL,31.77,,D
WA,1,28.69,26.32,D
WA,10,18.0,17.35,D
WA,2,23.67,28.06,D
WA,3,-3.3,3.89,D
WA,4,-20.67,,R
WA,5,-10.79,-21.31,R
WA,6,19.27,13.63,D
WA,7,74.99,68.35,D
WA,8,5.78,8.17,D
WA,9,41.21,33.72,D
WI,1,-4.51,-10.42,R
WI,2,40.15,40.28,D
WI,3,-7.4,-2.73,R
WI,4,51.55,53.87,D
WI,5,-22.15,-28.93,R
WI,6,-16.48,-22.59,R
WI,7,-22.5,-27.21,R
WI,8,-16.26,-14.66,R
WV,1,-44.36,-43.47,R
WV,2,-39.6,-41.54,R
WY,AL,-46.22,,R
